"","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq"
"Otu683",428,61,0,0,0,11.3,1.8,2.9
"Otu3029",429,61,0,0,0,11.3,1.8,2.9
"Otu1365",430,61,0,0,0,11.4,1.8,2.9
"Otu989",431,61,0,0,0,11.4,1.8,2.9
"Otu551",432,61,0,0,0,11.4,1.8,2.9
"Otu444",433,61,0,0,0,11.4,1.8,2.9
"Otu1367",434,61,0,0,0,11.5,1.8,2.9
"Otu16055",435,61,0,0,0,11.5,1.8,2.9
"Otu941",436,61,0,0,0,11.5,1.8,2.9
"Otu13235",437,61,0,0,0,11.5,1.8,2.9
"Otu218",438,61,0,0,0,11.6,1.8,2.9
"Otu15067",439,61,0,0,0,11.6,1.8,2.9
"Otu686",440,61,0,0,0,11.6,1.8,3
"Otu491",441,61,0,0,0,11.6,1.8,3
"Otu16333",442,61,0,0,0,11.7,1.8,3
"Otu127",443,61,0,0,0,11.7,1.8,3
"Otu436",444,61,0,0,0,11.7,1.8,3
"Otu1359",445,61,0,0,0,11.7,1.8,3
"Otu14511",446,61,0,0,0,11.8,1.8,3
"Otu1322",447,61,0,0,0,11.8,1.8,3
"Otu245",448,61,0,0,0,11.8,1.8,3
"Otu431",449,61,0,0,0,11.8,1.8,3
"Otu461",450,61,0,0,0,11.9,1.8,3
"Otu320",451,61,0,0,0,11.9,1.8,3
"Otu1215",452,61,0,0,0,11.9,1.8,3
"Otu1378",453,61,0,0,0,11.9,1.8,3
"Otu1030",454,61,0,0,0,12,1.8,3.1
"Otu273",455,61,0,0,0,12,1.8,3.1
"Otu1004",456,61,0,0,0,12,1.8,3.1
"Otu212",457,61,0,0,0,12,1.8,3.1
"Otu276",458,61,0,0,0,12.1,1.8,3.1
"Otu153",459,61,0,0,0,12.1,1.8,3.1
"Otu294",460,61,0,0,0,12.1,1.8,3.1
"Otu5661",461,61,0,0,0,12.1,1.8,3.1
"Otu1289",462,61,0,0,0,12.2,1.8,3.1
"Otu635",463,61,0,0,0,12.2,1.8,3.1
"Otu1561",464,61,0,0,0,12.2,1.8,3.1
"Otu238",465,61,0,0,0,12.2,1.8,3.1
"Otu765",466,60,0,0,0,12.3,1.8,3.1
"Otu11291",467,60,0,0,0,12.3,1.8,3.1
"Otu207",468,60,0,0,0,12.3,1.8,3.1
"Otu556",469,60,0,0,0,12.3,1.8,3.2
"Otu306",470,60,0,0,0,12.4,1.8,3.2
"Otu1164",471,60,0,0,0,12.4,1.8,3.2
"Otu649",472,60,0,0,0,12.4,1.8,3.2
"Otu2085",473,60,0,0,0,12.4,1.8,3.2
"Otu355",474,60,0,0,0,12.5,1.8,3.2
"Otu1042",475,60,0,0,0,12.5,1.8,3.2
"Otu15160",476,60,0,0,0,12.5,1.8,3.2
"Otu411",477,60,0,0,0,12.5,1.8,3.2
"Otu1284",478,60,0,0,0,12.6,1.8,3.2
"Otu564",479,60,0,0,0,12.6,1.8,3.2
"Otu523",480,60,0,0,0,12.6,1.8,3.2
"Otu930",481,60,0,0,0,12.6,1.8,3.2
"Otu457",482,60,0,0,0,12.6,1.8,3.2
"Otu1820",483,60,0,0,0,12.7,1.8,3.2
"Otu882",484,60,0,0,0,12.7,1.8,3.3
"Otu4279",485,60,0,0,0,12.7,1.8,3.3
"Otu789",486,60,0,0,0,12.7,1.8,3.3
"Otu3268",487,60,0,0,0,12.8,1.8,3.3
"Otu380",488,60,0,0,0,12.8,1.8,3.3
"Otu851",489,60,0,0,0,12.8,1.8,3.3
"Otu521",490,60,0,0,0,12.8,1.8,3.3
"Otu4154",491,60,0,0,0,12.9,1.8,3.3
"Otu397",492,60,0,0,0,12.9,1.8,3.3
